source_manufacturer,canonical_manufacturer,model_name,effective_length_raw,effective_length_source,mounting_distance_raw,mounting_distance_source,workbook_notes,action,reason
Origin Live,Origin Live,Renown,237,Origin Live website,219.76,Origin Live website,agreed,skipped,already_in_tonearm_models
Origin Live,Origin Live,"9""",229,Origin Live website,,,,skipped,already_in_tonearm_models
Origin Live,Origin Live,"9.5""",239.3,Origin Live website,,,,skipped,already_in_tonearm_models
Origin Live,Origin Live,"10""",254,Origin Live website,,,,skipped,already_in_tonearm_models
Origin Live,Origin Live,"12""",308.8,Origin Live website,,,,skipped,already_in_tonearm_models
Ortofon,Ortofon,"RS-309D 12""",NEED!,Ortofon website,314,Ortofon website,"Need arc! Eff. Len. Should be 326.5mm. See explanation in document ""Ortofon Japanese alignment"" in files.",skipped,already_in_research_targets
Ortofon,Ortofon,AS-212S,235,Ortofon website,,Ortofon website,Ortofon uses Japanese alignment with only ONE null point! Use 235mm,skipped,already_in_research_targets
Ortofon,Ortofon,"AS-212R 9""",232,Ortofon website,214,Ortofon website,agreed,skipped,already_in_research_targets
Ortofon,Ortofon,"AS-309R 12""",NEED!,Ortofon website,311,Ortofon website,agreed,skipped,already_in_research_targets
Ortofon,Ortofon,AS-309S,NEED!,Ortofon website,314,Ortofon website,"Need arc! Eff. Len. Should be 326.5mm. See explanation in document ""Ortofon Japanese alignment"" in files.",skipped,already_in_research_targets
Ortofon,Ortofon,RS-212D,235,Ortofon website,,Ortofon website,Ortofon uses Japanese alignment with only ONE null point! Use 235mm,skipped,already_in_tonearm_models
Pear Audio,Pear Audio,Blue Cornet,239.3,Pear Audio website,222,Pear Audio website,Pretty close,skipped,already_in_research_targets
Pete Riggle,Pete Riggle,Woody Universal,229,vtaf.com website,,,,skipped,already_in_research_targets
Pete Riggle,Pete Riggle,Woody Universal,240,vtaf.com website,,,,skipped,duplicate_in_workbook
Pete Riggle,Pete Riggle,Woody Universal,254,vtaf.com website,,,,skipped,duplicate_in_workbook
Pete Riggle,Pete Riggle,Woody Universal,308.8,vtaf.com website,,,,skipped,duplicate_in_workbook
Pete Riggle,Pete Riggle,Woody Universal,356,vtaf.com website,,,,skipped,duplicate_in_workbook
Pete Riggle,Pete Riggle,Woody SPU,325,vtaf.com website,,,,skipped,already_in_research_targets
Primary Control,Primary Control,FCL,301.1,Kenneth Ng - Singapore client,287.55,,,skipped,already_in_research_targets
Primary Control,Primary Control,Gravity,315,client report from manual,300,client report from manual,,skipped,already_in_research_targets
Primary Control,Primary Control,Reference,,,,,,skipped,already_in_research_targets
Primary Control,Primary Control,Arrow,,,,,,skipped,already_in_research_targets
Project,Pro-Ject,Carbon Debut,218.5,Project website,,,,skipped,filtered_non_tonearm_row
Project,Pro-Ject,RPM Carbon 10,254,Project website,,,,skipped,filtered_non_tonearm_row
Project,Pro-Ject,Signature 10,254,Project website,,,,skipped,filtered_non_tonearm_row
Project,Pro-Ject,Xtension 10 Evolution,254,Project website,,,,skipped,filtered_non_tonearm_row
Project,Pro-Ject,Xtension 9 Evolution,230,Project website,,,,skipped,filtered_non_tonearm_row
